title,combined
Die Hard: With a Vengeance,bomb taxi riddl brucewillis jeremyirons samuell.jackson johnmctiernan action thriller
The Doom Generation,sex erotic nuditi rosemcgowan jamesduval johnathonschaech greggaraki action comedy crime
Feast of July,embethdavidtz tombell gemmajones christophermenaul drama crime
First Knight,camelot knight kingarthur seanconnery richardgere juliaormond jerryzucker action adventure drama
Free Willy 2 - The Adventure Home,humananimalrelationship whale killerwhal jasonjamesrichter michaelmadsen jayneatkinson dwighth.little adventure
Hackers,femalenud hacker nuditi jonnyleemiller angelinajolie jessebradford iainsoftley action crime thriller
Jeffrey,gay aid basedonplayormus stevenweber patrickstewart michaelt.weiss christopherashley comedy drama romance
Johnny Mnemonic,brain childhoodmemori dystopia keanureeves dinameyer takeshikitano robertlongo adventure action drama
Judge Dredd,judg post-apocalypt dystopia sylvesterstallone dianelane armandassante dannycannon sciencefiction
Jury Duty,stripper juri jurist paulyshore tiacarrere stanleytucci johnfortenberry comedy drama
Kids,puberti firsttim leofitzpatrick rosariodawson chloësevigny larryclark drama crime
Living in Oblivion,cinema independentfilm filmmak stevebuscemi catherinekeener dermotmulroney tomdicillo drama comedy
Lord of Illusions,fanat supernatur wizardri scottbakula kevinj.o'connor famkejanssen clivebarker mystery horror thriller
Love & Human Remains,thomasgibson ruthmarshall cameronbancroft denysarcand comedy drama
Mad Love,suicideattempt colleg teenangst chriso'donnell drewbarrymore matthewlillard antoniabird drama family romance
Mallrats,sex gameshow slacker jasonlee jeremylondon shannendoherty kevinsmith romance comedy
Mighty Morphin Power Rangers: The Movie,basedontvseri tokusatsu superheroteam amyjojohnson jasondavidfrank davidyost bryanspicer action adventure sciencefiction
Moonlight and Valentino,widow femalefriendship grief elizabethperkins gwynethpaltrow kathleenturner davidanspaugh comedy drama romance
Mute Witness,chase polic murder marinazudina fayripley evanrichards anthonywaller thriller foreign
Nadja,newyork vampir dracula elinalöwensohn peterfonda davidlynch michaelalmereyda horror thriller
The Net,cheat newident computervirus sandrabullock jeremynortham dennismiller irwinwinkler crime drama mystery
Nine Months,parentchildrelationship babi marriag hughgrant juliannemoore tomarnold chriscolumbus comedy
Party Girl,librari parti independentfilm parkerposey lievschreiber anthonydesando daisyvonscherlermayer comedy
The Prophecy,angel archangelgabriel menschheit christopherwalken eliaskoteas virginiamadsen gregorywiden fantasy horror thriller
Reckless,trauma gameshow femaleprotagonist miafarrow tonygoldwyn scottglenn normanrené fantasy comedy drama
Safe,sex chemic medicin juliannemoore xanderberkeley deannorris toddhaynes drama
The Scarlet Letter,basedonnovel burningofwitch puritan demimoore garyoldman robertduvall rolandjoffé drama history romance
The Show,kurtisblow seancombs snoopdogg  documentary
Showgirls,danc femalenud go-godanc elizabethberkley kylemaclachlan ginagershon paulverhoeven drama
Smoke,smoke robber cigarett harveykeitel williamhurt giancarloesposito waynewang comedy drama
Something to Talk About,hors savannah basedontruestori juliaroberts dennisquaid robertduvall lassehallström comedy
Species,telepathi dna paranoia natashahenstridge benkingsley michaelmadsen rogerdonaldson sciencefiction horror action
The Stars Fell on Henrietta,restaur oil ruralset robertduvall aidanquinn francesfisher jameskeach drama
Strange Days,pornographi prostitut rape ralphfiennes angelabassett tomsizemore kathrynbigelow crime drama sciencefiction
The Umbrellas of Cherbourg,carmechan letter music catherinedeneuve ninocastelnuovo annevernon jacquesdemy drama romance
The Tie That Binds,darylhannah keithcarradine moirakelly wesleystrick thriller
Three Wishes,basebal drifter dog patrickswayze maryelizabethmastrantonio josephmazzello marthacoolidge drama fantasy
Total Eclipse,mentor poet womandirector leonardodicaprio davidthewlis romanebohringer agnieszkaholland drama romance
"To Wong Foo, Thanks for Everything! Julie Newmar",transvest gay newyork patrickswayze wesleysnipes johnleguizamo beebankidron comedy
Under Siege 2: Dark Territory,terrorist pentagon satellit stevenseagal ericbogosian everettmcgill geoffmurphy action thriller
Unstrung Heroes,womandirector andiemacdowell johnturturro michaelrichards dianekeaton comedy drama family
Unzipped,fashion sandrabernhard isaacmizrahi naomicampbell douglaskeeve documentary
A Walk in the Clouds,worldwarii vineyard love keanureeves aitanasánchez-gijón anthonyquinn alfonsoaráu drama romance
Waterworld,ocean tattoo mutant kevincostner chaimgirafi rickaviles kevinreynolds adventure action
White Man's Burden,dystopia blackwhiterel alternativeunivers johntravolta harrybelafonte kellylynch desmondnakano drama
Wild Bill,opium lossofeyesight biographi jeffbridges ellenbarkin johnhurt walterhill action western
The Browning Version,albertfinney gretascacchi matthewmodine mikefiggis drama
Bushwhacked,cave waterfal children danielstern jonpolito bradsullivan gregbeeman adventure action comedy
Burnt by the Sun,wifehusbandrelationship colonel nikitamikhalkov olegmenshikov ingeborgadapkunaite nikitamikhalkov drama
Before the Rain,monk mountain restaur katrincartlidge radeserbedzija grégoirecolin milčomančevski drama war
Before Sunrise,dialogu sunris talk ethanhawke juliedelpy andreaeckert richardlinklater drama romance
Billy Madison,womandirector adamsandler darrenmcgavin bridgettewilson tamradavis comedy
The Babysitter,alcohol obsess babysitt aliciasilverstone jeremylondon j.t.walsh guyferland drama thriller
Boys on the Side,aid roommat homicid whoopigoldberg mary-louiseparker drewbarrymore herbertross comedy drama
The Cure,mississippi bradrenfro josephmazzello annabellasciorra peterhorton drama family
Castle Freak,castl voyeur jeffreycombs barbaracrampton jonathanfuller stuartgordon thriller drama horror
Circle of Friends,forbiddenlov moralconflict independentfilm chriso'donnell minniedriver geraldineo'rawe pato'connor drama family romance
Clerks,salesclerk loser aftercreditssting briano'halloran jeffanderson jasonmewes kevinsmith comedy
Don Juan DeMarco,sexaddict love mentalinstitut johnnydepp marlonbrando fayedunaway jeremyleven romance drama comedy
Disclosure,employe workplac sexualharass michaeldouglas demimoore donaldsutherland barrylevinson drama thriller crime
Dream Man,vision psychic patsykensit brucegreenwood andrewmccarthy renébonnière thriller
Drop Zone,terrorist transportofprison airplan wesleysnipes garybusey yancybutler johnbadham action adventure thriller
Destiny Turns on the Radio,heist expectantfath dylanmcdermott nancytravis jameslegros jackbaran crime comedy fantasy
Death and the Maiden,marriedcoupl chile pinochet-regim sigourneyweaver benkingsley stuartwilson romanpolanski drama thriller mystery
Dolores Claiborne,childabus detect basedonnovel kathybates jenniferjasonleigh judyparfitt taylorhackford crime drama mystery
Dumb and Dumber,gasstat motel utah jimcarrey jeffdaniels laurenholly peterfarrelly comedy
Eat Drink Man Woman,cook senseoflif daughter sihunglung yu-wenwang jacklynwu anglee comedy drama romance
Exotica,secret nightclub petshop brucegreenwood miakirshner eliaskoteas atomegoyan drama mystery
Exit to Eden,femalenud sexual island danadelany paulmercurio rosieo'donnell garrymarshall thriller comedy crime
Ed Wood,individu taxi transsexu johnnydepp martinlandau sarahjessicaparker timburton comedy drama history
French Kiss,pari airport inlovewithenemi megryan kevinkline timothyhutton lawrencekasdan comedy romance
Forget Paris,pari dalla basketbal billycrystal debrawinger joemantegna billycrystal comedy drama romance
Far from Home: The Adventures of Yellow Dog,wilder boyanddog mimirogers jessebradford brucedavison phillipborsos action adventure drama
A Goofy Movie,fathersonrelationship popsing music billfarmer jasonmarsden robpaulsen kevinlima romance animation family
Hideaway,suspens jeffgoldblum christinelahti aliciasilverstone brettleonard drama thriller
Fluke,fathersonrelationship basedonnovel reincarn samuell.jackson matthewmodine nancytravis carlocarlei drama family fantasy
Farinelli,brotherbrotherrelationship opera eunuch stefanodionisi enricoloverso elsazylberstein gérardcorbiau history drama
Gordy,countrymus tedmanson afemoomilami marklewis drama family fantasy
Gumby: The Movie,artclokey fantasy animation sciencefiction
The Glass Shield,icecube loripetty erichanderson charlesburnett drama action thriller
Hoop Dreams,chicago sportsteam ghetto williamgates arthuragee stevejames stevejames documentary
Heavenly Creatures,mother sex secret melanielynskey katewinslet sarahpeirse peterjackson drama fantasy
Houseguest,sinbad philhartman jeffreyjones randallmiller comedy family
Immortal Beloved,deaf sister-in-law characterstudi garyoldman jeroenkrabbé isabellarossellini bernardrose drama music romance
Heavyweights,overweight summercamp benstiller aaronschwartz kenanthompson stevenbrill comedy family drama
The Hunted,christopherlambert johnlone joanchen j.f.lawton action thriller
I.Q.,weddingvow mathematician carmechan timrobbins megryan waltermatthau fredschepisi comedy drama romance
Interview with the Vampire,pari sanfrancisco vampir bradpitt tomcruise kirstendunst neiljordan horror romance
Jefferson in Paris,franc revolut biographi nicknolte gretascacchi thandienewton jamesivory drama romance
The Jerky Boys,newyork telephonejok gangster johng.brennan kamalahmed alanarkin jamesmelkonian comedy crime
Junior,babi medicin media arnoldschwarzenegger dannydevito emmathompson ivanreitman comedy family romance
Just Cause,rape blackpeopl florida seanconnery laurencefishburne blairunderwood arneglimcher action drama mystery
A Kid in King Arthur's Court,timetravel kid medievaltim thomasiannicholas jossackland artmalik michaelgottlieb adventure fantasy comedy
Kiss of Death,hoodlum davidcaruso samuell.jackson nicolascage barbetschroeder action crime drama
Star Wars,android galaxi hermit markhamill harrisonford carriefisher georgelucas adventure action sciencefiction
Little Women,depress motherdaughterrelationship pregnant winonaryder gabrielbyrne trinialvarado gillianarmstrong drama romance
A Little Princess,basedonnovel servant privateschool lieselmatthews eleanorbron liamcunningham alfonsocuarón drama family fantasy
Ladybird Ladybird,love children famili crissyrock vladimirvega sandielavelle kenloach drama
L'Enfer,emmanuellebéart françoiscluzet nathaliecardone claudechabrol crime drama
Like Water for Chocolate,chocol jealousi sistersisterrelationship marcoleonardi lumicavazos reginatorné alfonsoaráu drama romance
Legends of the Fall,brotherbrotherrelationship montana basedonnovel bradpitt anthonyhopkins aidanquinn edwardzwick adventure drama romance
Major Payne,headquart militarybas militaryservic damonwayans orlandobrown michaelironside nickcastle adventure comedy family
Little Odessa,russianmafia dysfunctionalfamili brother edwardfurlong timroth moirakelly jamesgray action drama
Mi Vida Loca,eastlosangel gang losangel angelaviles seidylópez jacobvargas allisonanders crime drama
Love Affair,cruis disabl empirestatebuild warrenbeatty annettebening katharinehepburn glenngordoncaron drama romance
Losing Isaiah,mother childabus singlepar jessicalange halleberry davidstrathairn stephengyllenhaal drama
The Madness of King George,queen kingdom biographi nigelhawthorne helenmirren ianholm nicholashytner comedy drama history
Mary Shelley's Frankenstein,humanexperiment frankenstein remak robertdeniro kennethbranagh tomhulce kennethbranagh drama horror sciencefiction
Man of the House,farrahfawcett chevychase jonathantaylorthomas jamesorr action comedy family
Mixed Nuts,holiday rollerblad crossdress stevemartin madelinekahn robertklein noraephron comedy drama romance
Milk Money,prostitut treehous red-lightdisctrict melaniegriffith edharris michaelpatrickcarter richardbenjamin comedy romance
Miracle on 34th Street,holiday competit newlov richardattenborough elizabethperkins dylanmcdermott lesmayfield fantasy drama family
Miami Rhapsody,sarahjessicaparker antoniobanderas miafarrow davidfrankel comedy romance
My Family,immigr marriag independentfilm edwardjamesolmos jimmysmits esaimorales gregorynava comedy drama
Murder in the First,prison prison deathrow christianslater kevinbacon garyoldman marcrocco crime drama
Nobody's Fool,illegalemploy retir drama paulnewman brucewillis melaniegriffith robertbenton drama comedy
Nell,lossofmoth lossofsist twinsist jodiefoster liamneeson natasharichardson michaelapted drama thriller
New Jersey Drive,newjersey polic brutal sharroncorley donaldfaison christinebaranski nickgomez crime drama
New York Cop,torunakamura chadmcqueen mirasorvino tōrumurakawa action thriller crime
Beyond Bedlam,suicid detect experi elizabethhurley craigfairbrass keithallen vadimjean horror
Nemesis 2 - Nebula,cyborg post-apocalypt sequel sueprice chadstahelski tinacote albertpyun sciencefiction action thriller
Nina Takes a Lover,laurasangiacomo michaelo'keefe paulrhys alanjacobs drama romance
Natural Born Killers,sadist journalist massmurd woodyharrelson juliettelewis robertdowneyjr. oliverstone crime thriller drama
Only You,venic itali fortunetel marisatomei robertdowneyjr. bonniehunt normanjewison comedy drama romance
Once Were Warriors,individu slum suicid renaowen temueramorrison mamaengaroakerr-bell leetamahori drama
Poison Ivy II: Lily,sex obsess diari alyssamilano johnathonschaech xanderberkeley annegoursaud drama romance thriller
Outbreak,river general research dustinhoffman renerusso morganfreeman wolfgangpetersen action drama sciencefiction
Leon: The Professional,newyork corrupt assassin jeanreno natalieportman garyoldman lucbesson thriller crime drama
The Perez Family,immigr independentfilm womandirector marisatomei alfredmolina anjelicahuston miranair comedy drama romance
A Pyromaniac's Love Story,jealousi burninghous teenagecrush williambaldwin johnleguizamo эрикаэлениак joshuabrand comedy drama romance
Pulp Fiction,transport brothel drugdeal johntravolta samuell.jackson umathurman quentintarantino thriller crime
Panther,blackpanth kadeemhardison bokeemwoodbine courtneyb.vance mariovanpeebles drama
Pushing Hands,sihunglung wanglai boz.wang anglee comedy drama
Priest,gay secret faith linusroache tomwilkinson robertcarlyle antoniabird drama romance
